Unnamed: 0,brand,model_name,screen_size,ram,rom,cams,sim_type,battary,current_price,previous_price,sale_percentage,product_rating,seller_name,seller_score,seller_followers,Reviews
176,XIAOMI,Redmi Note 12s ,6.43,8.0,256.0,108MP + 8MP + 2MP + 12MP,Dual,5000.0,166.0,2509.0,1%,4.6,KM KENYA ELECTRONICS,80%,1467,No reviews
177,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,
182,Tecno,Pop 7 Pro ,6.6,3.0,64.0,,Dual,5000.0,63.0,1156.0,18%,4.8,Amira Store,100%,219,No reviews
183,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,
187,XIAOMI,Redmi Note 12 ,6.67,4.0,128.0,50MP + 8MP + 2MP,Dual,0.0,122.0,2448.0,25%,4.5,Minestar,86%,1002,No reviews
188,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,
190,Tecno,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,Dual,5000.0,127.0,2720.0,30%,0.0,Minestar,86%,1002,No reviews
191,Infinix,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,Dual,5000.0,59.0,1156.0,24%,0.0,MNI NabŘi Dealers,60%,17,No reviews
192,Oppo,A78 4G ,6.43,8.0,256.0,50MP + 8MP,Dual,5000.0,157.0,2720.0,13%,0.0,SmartNets Enterprises,74%,249,No reviews
193,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,
196,Samsung,Galaxy Note 10 ,6.3,,,12MP + 12MP + 16MP + 10MP,Single,,213.0,5440.0,41%,0.0,Brybell Master Ltd,50%,16,No reviews
197,,,,,,,,,,,,,,,,
198,Oppo,A58 ,,6.0,128.0,50MP + 2MP + 8MP,Dual,5000.0,111.0,2108.0,21%,0.0,Horu socod,100%,677,No reviews
199,,,,,,,,,,,,,,,,
200,Tecno,POP 7 Pro ,6.56,4.0,64.0,,Dual,5000.0,64.0,1156.0,17%,0.0,Amira Store,100%,219,No reviews
201,Tecno,Spark 10C ,6.6,4.0,128.0,16MP + 8MP,Dual,5000.0,79.0,1768.0,33%,5.0,Minestar,86%,1002,[ (5 out of 5) i love it ]
202,Oppo,A78 4G ,6.43,16.0,256.0,50MP + 8MP,Dual,5000.0,154.0,3400.0,32%,4.5,Minestar,86%,1002,No reviews
203,,,,,,,,,,,,,,,,
204,Realme,C30s ,6.5,3.0,64.0,,Dual,5000.0,60.0,952.0,5%,5.0,Minestar,86%,1002,No reviews
205,Oppo,A78 ,6.43,8.0,256.0,50MP,Dual,0.0,154.0,2380.0,3%,0.0,Gaff Electronics Kenya,94%,165,No reviews
206,Samsung,Galaxy A54 5G ,6.4,8.0,256.0,50MP + 12MP + 5MP + 32MP,Dual,5000.0,287.0,5440.0,21%,4.0,Samsung Ecco World -,100%,177,No reviews
207,,,,,,,,,,,,,,,,
208,Sowhat,Find 30 ,6.6,2.0,32.0,5MP + 13MP,Dual,4000.0,38.0,680.0,15%,2.0,Sowhat Mobiles,80%,4,[ (2 out of 5) I don't like it at all ]
209,Realme,C30s ,6.5,3.0,64.0,,Dual,5000.0,58.0,918.0,5%,4.0,Minestar,86%,1002,No reviews
210,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,
214,Samsung,GT C5212 ,2.2,,,1.3MP,Dual,1000.0,23.0,476.0,29%,3.8,DENNO TECH,86%,10,"[ (5 out of 5) I like it. ], [ (3 out of 5) feedback ]"
215,Samsung,Galaxy A24 4G ,6.5,6.0,128.0,50MP + 5MP + 2MP + 13MP,Dual,5000.0,138.0,2448.0,15%,4.5,t markets,98%,3,"[ (4 out of 5) I love it ], [ (4 out of 5) Quality ]"
